tokipona,sitelenpona,sitelenJuniko,sitelenpilin,sitelenjelo,sitelensitelen,roots,mnemonic,etymology,gloss:Noun,gloss:Verb,gloss:Adjective,pu/ku/kulupu,related,rootsAlt
tawa,,,↪️,🛫,,[ S,para (es),towards,movement / transportation,go to / leave / travel; move / displace,moving / mobile,to / towards; for; until; from-perspective-of; (indir. obj. marker),,
telo,,≈,💧,,,S ~,de-l'eau,"fr: de l'eau ""some water""",water / fluid; juice / beverage; sauce,clean / wash; water (plants),watery? liquid?,,kala kiwen ko,
tenpo,,◷,⏰,🕒,,O ⩍ ⩍,temporal,"la: tempus ""time""",time / period of time / duration / moment; occasion / situation,,temporary? now?,,,
toki,,⍥,🗣,💬,,O ☻ ＝,talk,"tp: tok ""talk""","speech, language, conversation?",say / talk / speak; communicate; think,verbal; speaking,"[intj] ""hello"" ""hi""",kute lukin nimi sitelen,A
tomo,,,🏠,,,◎ ⩍,domicile,"la: domus ""house""","home, structure, room, vehicle, enclosure?",,domestic,,,
tonsi,,⚧,♐,⚧️,,O ⊹ ⩍,同志,"zh: 同志 ""comrade""",enby / nonbinary / genderqueer person,,nonbinary / queer,,jan meli mije,A
tu,,〢Ⅱ,✌️,⏸️,,⩍ N ⩍,two,two,two; pair-of,double; separate / bisect / divide?,two-of / doubled; divided?,,,
unpa,,,💏,🍆,,~,unf,,"sexual relations, affectation",copulate? fuck?,erotic,,,
uta,,Ụọ,👄,,,＝,,"sh: usta ""mouth""",mouth,,,,,☻
utala,,⚔︎,⚔️,🆚,,E O ⊿,,"sh: udarati ""strike""",conflict / disharmony; violence / fight / war / battle; strike / blow; argument; challenge? contest? controversy?,hit / strike / attack; battle / fight / challenge; struggle against,pugnacious? fighting-wordsy?,,,
walo,,,⚪️,🐑,,N P,,"fi: valkoinen ""white""",(color) white; light,lighten / brighten,"bright, pale, whitish",,kule,
wan,,1,☝️,1️⃣,,⩍ N,one,one,one; part (of whole) / piece / unit,unite,united; unique,,,
waso,,ᔳ,🦅,🐦🐔🦉,,O P ⊿,oiseau,"fr: oiseau ""bird""",bird / flying creature,,flying? aflight?,,,A
wawa,,,⚡️,,,⊿ ⊿ ＝,power,"fi: vahva ""strong""",energy; strength / power,strengthen; energize; empower,strong / powerful; fierce; energetic / intense; loud,,,⊹
weka,,,,🆑,,E ＝ N,away,"nl: weg ""away""",absence,discard / throw away / get rid of; remove,absent / away / not-present / missing; ignored,,,
wile,,⍵ωɷ,💭,🙏🧲,,O ⊹ N,will,"nl: willen ""want""","want, desire, need","want, desire, need",,[aux-v] should,ken,
